iter	Passed	Remaining
0	195	195324
1	201	100342
2	205	68392
3	214	53507
4	220	43795
5	224	37185
6	241	34292
7	249	30986
8	254	27992
9	258	25543
10	261	23555
11	265	21847
12	269	20447
13	273	19255
14	279	18328
15	282	17372
16	285	16518
17	289	15787
18	293	15142
19	295	14502
20	298	13903
21	300	13363
22	302	12863
23	305	12424
24	307	12002
25	309	11608
26	311	11239
27	313	10895
28	315	10578
29	318	10293
30	320	10029
31	323	9771
32	325	9527
33	327	9294
34	329	9080
35	331	8872
36	334	8693
37	335	8503
38	337	8315
39	339	8141
40	340	7972
41	342	7811
42	343	7650
43	345	7497
44	346	7356
45	348	7225
46	349	7091
47	350	6960
48	352	6834
49	353	6713
50	354	6596
51	355	6485
52	356	6377
53	358	6272
54	359	6174
55	360	6077
56	362	5989
57	363	5906
58	364	5820
59	366	5738
60	367	5658
61	368	5579
62	369	5502
63	371	5427
64	372	5356
65	373	5287
66	374	5219
67	376	5159
68	377	5098
69	378	5035
70	380	4975
71	381	4916
72	382	4861
73	384	4807
74	385	4754
75	386	4702
76	388	4653
77	389	4605
78	391	4558
79	392	4514
80	394	4471
81	395	4428
82	396	4385
83	398	4341
84	399	4299
85	400	4257
86	401	4216
87	403	4177
88	404	4138
89	405	4100
90	407	4065
91	408	4030
92	409	3994
93	410	3959
94	412	3925
95	413	3892
96	414	3856
97	415	3819
98	416	3788
99	417	3757
100	418	3727
101	420	3697
102	421	3670
103	423	3644
104	423	3612
105	424	3584
106	426	3556
107	427	3529
108	428	3502
109	429	3476
110	430	3450
111	432	3426
112	433	3403
113	434	3380
114	436	3357
115	437	3336
116	439	3315
117	440	3292
118	441	3271
119	443	3248
120	444	3226
121	445	3205
122	446	3186
123	448	3165
124	449	3144
125	450	3125
126	452	3107
127	453	3088
128	454	3072
129	456	3054
130	457	3034
131	458	3017
132	460	3000
133	461	2981
134	462	2963
135	463	2945
136	464	2927
137	465	2910
138	467	2895
139	468	2879
140	470	2863
141	471	2847
142	472	2831
143	473	2815
144	474	2800
145	475	2782
146	476	2766
147	478	2752
148	479	2737
149	480	2722
150	481	2708
151	483	2695
152	484	2679
153	484	2663
154	485	2647
155	486	2631
156	487	2615
157	487	2600
158	488	2584
159	489	2569
160	490	2554
161	491	2540
162	491	2525
163	492	2511
164	493	2496
165	494	2482
166	494	2468
167	495	2454
168	496	2441
169	497	2428
170	498	2416
171	499	2403
172	499	2388
173	500	2375
174	501	2362
175	501	2350
176	502	2337
177	503	2325
178	504	2313
179	505	2301
180	505	2289
181	506	2277
182	507	2265
183	508	2254
184	509	2242
185	509	2231
186	510	2220
187	511	2208
188	512	2198
189	513	2188
190	514	2178
191	515	2168
192	516	2158
193	517	2148
194	517	2138
195	518	2127
196	519	2117
197	520	2108
198	521	2099
199	522	2089
200	523	2079
201	524	2070
202	524	2060
203	525	2051
204	526	2041
205	527	2032
206	528	2024
207	529	2016
208	530	2007
